user_skills_str,job_skills_str,job_title,job_idx,n_user_skills,n_job_skills,overlap_pct,label
"aspnet, jest","powerbi, react native",Pharmacy Activation Data Intern,134,2,2,0.0,0
"agile, angular, css, fastapi, gcp, html, javascript, node, react, tensorflow, testing, user research, wireshark","agile, angular, css, html, javascript, node, react, scala, testing, user research",Web Developer,45,13,10,0.9,1
"api, docker, laravel, node, python","api, docker, laravel, node, python, sql",Tech Developer Intern - Staff,67,5,6,0.8333333333333334,1
"agile, api, cicd, git, go, mongodb, nosql, spark, sql, vue","agile, api, cicd, git, go, mongodb, nosql, sql",[INTERN] Backend Developer,52,10,8,1.0,1
"appium, database, flask, flutter, linux, typescript","azure, jest, python, spark, sql, tableau",Data Scientist,85,6,6,0.0,0
"api, firebase, flutter, git, react native","automation, css, docker, figma, git, kubernetes, vue",UI/UX Engineer,71,5,7,0.14285714285714285,0
"design system, figma, rust, user research","linux, networking, security, sql","Staff Sistem Administration, IT Security & Networking",129,4,4,0.0,0
"django, laravel, linux, networking, sql","laravel, linux, networking, sql",IT Support,132,5,4,1.0,1
"api, flutter, git, ios, testing","android, api, flutter, git, ios, testing",Mobile App Flutter Developer (Internship),75,5,6,0.8333333333333334,1
"linux, network security, networking, security","css, html, php",IT Support Intern (Magang),141,4,3,0.0,0
"css, html, redis, springboot","css, html",Web Designer,169,4,2,1.0,1
"figma, flutter, r, react, rust, tensorflow","css, html, javascript, react, tailwind, vue",Front-End Developer – 8th hire at a Startup!,79,6,6,0.16666666666666666,0
"css, html, quality assurance, user research","powerbi, python, sql, tableau",IT Data Internship,104,4,4,0.0,0
"agile, api, docker, git, graphql, kubernetes, redis, scala, security, testing","agile, api, docker, git, graphql, kubernetes, redis, scala, security, sql, testing",Back End Engineer,32,10,11,0.9090909090909091,1
"database, linux, networking, security","database, linux, networking, security",IT Support Intern,162,4,4,1.0,1
"android, aspnet, html, ios, java, javascript, sql","docker, linux, powerbi, python, sql, user research",Data Engineer,88,7,6,0.16666666666666666,0
"cicd, css, design system, figma, git, rust, tailwind","cicd, css, design system, figma, git, react, rust, tailwind, typescript",Front-End React Developer,54,7,9,0.7777777777777778,1
"aspnet, express, php, sql","aspnet, express, php, sql",IT Programmer,118,4,4,1.0,1
"aws, elasticsearch, git, scala","api, express, git, java, javascript, mongodb, node, react, sql, vue",Internship IT Programmer,34,4,10,0.1,0
"java, javascript, quality assurance, testing, typescript","agile, api, docker, git, graphql, kubernetes, redis, scala, security, sql, testing",Back End Engineer,32,5,11,0.09090909090909091,0
"aws, cicd, git, graphql, html, javascript, mongodb","aws, cicd, css, git, graphql, html, java, javascript, mongodb, nosql",Back-End Intern,31,7,10,0.7,1
"api, aws, cicd, docker, git, go, graphql, javascript, kubernetes, nextjs, node, react, rust, scala, sql, terraform, typescript","adobexd, api, css, firebase, git, html, java, javascript, networking, php, python, vue",Web Developer,30,17,12,0.25,0
"jest, numpy, pandas, python, pytorch, sklearn, tensorflow","css, html",IT Intern,161,7,2,0.0,0
"azure, django, gcp, git, pandas, wireshark","ansible, aws, cicd, docker, kubernetes, linux, terraform",DevOps Intern (Mahasiswa Aktif),73,6,7,0.0,0
"database, nosql","api, aspnet, sql",BackEnd Engineer,135,2,3,0.0,0
"network security, networking, penetration, security, wireshark","api, cicd, docker, git, linux, python, pytorch, react native, scala, tensorflow, testing",Senior Machine Learning Engineer,35,5,11,0.0,0
"api, aspnet, sql","api, aspnet, sql",BackEnd Engineer,135,3,3,1.0,1
"django, fastapi, flask, scala, selenium, tensorflow","api, aws, azure, database, docker, fastapi, flask, gcp, git, jest, numpy, pandas, python, pytorch, ruby on rails, scala, sklearn, sql, tensorflow",Middle AI Engineer,5,6,19,0.21052631578947367,0
"agile, database, java, javascript, mongodb, nosql, python, pytorch, sql, tensorflow","database, java, javascript, mongodb, nosql, python, pytorch, sql, tensorflow",Industrial Software Developer & Program Analyst,48,10,9,1.0,1
"git, javascript, python, react, sql","git, javascript, python, sql",Junior Software Engineer (Fresh Graduate),176,5,4,1.0,1
"accessibility, aspnet, bash, pandas, springboot, typescript","android, api, cicd, css, express, flutter, go, graphql, html, ios, javascript, kotlin, laravel, node, php, python, pytorch, react, react native, redis, sql, swift, tailwind, tensorflow, testing, vue",Full Stack / Mobile Developer & AI Engineer,0,6,26,0.0,0
"ansible, aws, cicd, docker, kubernetes, linux, terraform","ansible, aws, cicd, docker, kubernetes, linux, terraform",DevOps Intern (Mahasiswa Aktif),73,7,7,1.0,1
"gcp, git, quality assurance","css, html, php",IT Support Intern (Magang),141,3,3,0.0,0
"docker, kubernetes, numpy, pandas, python","linux, networking",IT Support Intern,148,5,2,0.0,0
"bash, jest, laravel, network security, networking, penetration, react, security","network security, networking, penetration, security",Network Security Department Head,143,8,4,1.0,1
"api, git, graphql, java, springboot, sql","api, git, graphql, java, springboot, sql",Back End Developer,80,6,6,1.0,1
"aspnet, express, php, sql","linux, network security, networking, penetration, security, wireshark",IT System Security Administrator,99,4,6,0.0,0
"laravel, linux, networking, sql","laravel, linux, networking, sql",IT Support,132,4,4,1.0,1
"go, penetration, rust, security, sql, tailwind","penetration, rust, security","IT Security & Government, Risk and Compliance",149,6,3,1.0,1
"azure, jest, numpy, pandas, python, pytorch, react native, sklearn, tensorflow","jest, numpy, pandas, python, pytorch, sklearn, tensorflow",AI/ML Engineer Intern,62,9,7,1.0,1
"android, figma, numpy, pandas, python, pytorch, react native, sklearn, tensorflow, testing","numpy, pandas, python, pytorch, sklearn, tensorflow",AI Engineer,86,10,6,1.0,1
"flutter, git, python, react, react native, sql, testing","design system, figma, user research",UI/UX Designer (Paid Internship),140,7,3,0.0,0
"api, aws, azure, bash, database, django, docker, flask, git, jest, numpy, pandas, php, python, pytorch, ruby on rails, scala, sql, tensorflow, wireshark","api, aws, azure, database, docker, fastapi, flask, gcp, git, jest, numpy, pandas, python, pytorch, ruby on rails, scala, sklearn, sql, tensorflow",Middle AI Engineer,5,20,19,0.8421052631578947,1
"express, php, sql","aspnet, express, php, sql",IT Programmer,118,3,4,0.75,1
"java, python, scala, testing, user research","git, java, python, scala, testing, user research",Software Engineering Talent Day - Surabaya,95,5,6,0.8333333333333334,1
"numpy, pandas, python, pytorch, sklearn, tensorflow","api, docker, laravel, node, python, sql",Class Manager: Back-End (Intern),74,6,6,0.16666666666666666,0
"angular, api","database, linux, networking, security",IT Intern,173,2,4,0.0,0
"api, docker, elasticsearch, fastapi, flask, git, jest, linux, nosql, python, security, sql","aws, azure, cicd, cloud, docker, gcp, git, go, java, kubernetes, network security, penetration, python, r, react native, security",Security Engineer,11,12,16,0.25,0
"cicd, django, numpy, scala, testing","cicd, scala",Machine Learning Engineering Section Head,160,5,2,1.0,1
"network security, networking, penetration, security, wireshark","network security, networking, penetration, security, wireshark",Network Security Engineer,113,5,5,1.0,1
"css, javascript, react, tailwind, vue","css, html, javascript, react, tailwind, vue",Front-End Developer – 8th hire at a Startup!,79,5,6,0.8333333333333334,1
"api, css, docker, git, html, react, react native, typescript","api, css, git, html, java, react, react native, typescript",Frontend Developer,60,8,8,0.875,1
"aws, cicd, css, git, graphql, html, java, javascript, mongodb, nosql","aws, cicd, css, git, graphql, html, java, javascript, mongodb, nosql",Back-End Intern,31,10,10,1.0,1
"docker, kotlin, networking, sklearn, springboot, typescript","azure, jest, python, spark, sql, tableau",Data Scientist,85,6,6,0.0,0
"agile, api, cicd, git, go, mongodb, nosql, sql","agile, api, cicd, git, go, mongodb, nosql, sql",[INTERN] Backend Developer,52,8,8,1.0,1
"azure, ios, penetration","api, aspnet, css, database, git, html, java, javascript, scala, user research",Web Programmer,44,3,10,0.0,0
"ansible, aws, cicd, docker, kubernetes, linux, terraform","mongodb, nosql, sql",Data Analyst INTERN,124,7,3,0.0,0
"cicd, css, git, graphql, html, javascript, mongodb, nosql","aws, cicd, css, git, graphql, html, java, javascript, mongodb, nosql",Back-End Intern,31,8,10,0.8,1
"java, javascript, redis, sql","java, javascript, sql",Magang IT Programmer,115,4,3,1.0,1
"firebase, nextjs, react","ansible, aws, cicd, docker, kubernetes, linux, terraform",DevOps Intern (Mahasiswa Aktif),73,3,7,0.0,0
"css, html, quality assurance, user research","azure, jest, python, spark, sql, tableau",Data Scientist,85,4,6,0.0,0
"cicd, react, selenium, testing","javascript, pandas, python, sql",Programmer/ IT Developer,120,4,4,0.0,0
"numpy, pandas, python, pytorch, sklearn, tensorflow","numpy, pandas, python, pytorch, sklearn, tensorflow",AI Engineer,86,6,6,1.0,1
"android, appium, aspnet, html, ios, java, javascript, php, sql, user research","android, aspnet, html, ios, java, javascript, sql",Web Developer - Internship,56,10,7,1.0,1
"api, aspnet, go, graphql, r, sql","api, aspnet, sql",BackEnd Engineer,135,6,3,1.0,1
"cicd, rust, swift, tensorflow","git, java, linux, python, pytorch, scala, tensorflow, testing",Software Engineer (C++),64,4,8,0.125,0
"adobexd, figma, testing","git, java, python, scala, testing, user research",Software Engineering Talent Day - Surabaya,95,3,6,0.16666666666666666,0
"api, aspnet, aws, cicd, git, go, graphql, java, javascript, kubernetes, nextjs, node, pytorch, react, rust, scala, sql, terraform, typescript","api, aws, cicd, docker, git, go, graphql, javascript, kubernetes, nextjs, node, react, rust, scala, sql, terraform, typescript",Full Stack Software Engineer (CAD Rooms Cloud PDM),7,19,17,0.9411764705882353,1
"agile, fastapi, java, networking, penetration, rust, security","penetration, rust, security","IT Security & Government, Risk and Compliance",149,7,3,1.0,1
"flask, javascript, kotlin, quality assurance, tensorflow","appium, automation, quality assurance, selenium, testing",Quality Assurance Intern,100,5,5,0.2,0
"android, api, database, figma, flutter, git, ios, java, kotlin, penetration, quality assurance, swift, terraform","adobexd, android, api, figma, flutter, git, ios, java, kotlin, swift",Mobile Developer Intern (Swift/Kotlin/Flutter),36,13,10,0.9,1
"azure, express, gcp, git, go, linux, scala, sql","cloud, git, go, scala, sql",Backend Developer (Golang),81,8,5,0.8,1
"android, docker, node, powerbi, python, springboot","api, firebase, flutter, git, react native",Flutter Developer (Intern),89,6,5,0.0,0
"android, flutter, git, ios, testing","android, api, flutter, git, ios, testing",Mobile App Flutter Developer (Internship),75,5,6,0.8333333333333334,1
"numpy, powerbi, springboot, vue, wireshark","api, aws, azure, cicd, css, django, docker, fastapi, flask, gcp, java, javascript, jest, kubernetes, node, python, react, react native, redis, sql, tailwind, testing, typescript",Full Stack AI Developer,2,5,23,0.0,0
"cicd, docker, git, linux, python, pytorch, tensorflow, testing","api, cicd, docker, git, linux, python, pytorch, react native, scala, tensorflow, testing",Senior Machine Learning Engineer,35,8,11,0.7272727272727273,1
"css, django, fastapi, flask, html, java, javascript, mongodb, python, scala, sql","css, django, fastapi, flask, html, java, javascript, mongodb, python, scala, sql",Backend Developer Intern,26,11,11,1.0,1
"adobexd, database, django, sql, typescript, wireshark","android, aspnet, html, ios, java, javascript, sql",Web Developer - Internship,56,6,7,0.14285714285714285,0
"powerbi, python, sql, tableau","powerbi, python, sql, tableau",IT Data Internship,104,4,4,1.0,1
"django, java, networking, sklearn","design system, figma, rust, user research",UI/UX Designer Intern,123,4,4,0.0,0
"agile, android, automation, firebase, flutter, go, ios, javascript, jest, kotlin, node, nosql, postman, python, quality assurance, selenium, sql, swift, testing, typescript, vue","network security, networking, penetration, security",Network Security Department Head,143,21,4,0.0,0
"css, fastapi, git, javascript, jest, nextjs, numpy, pandas, python, pytorch, quality assurance, react, sql, tailwind, typescript","linux, networking",IT Support Intern,148,15,2,0.0,0
"accessibility, azure, numpy, php, sql, tailwind","agile, network security, react native, rust, security",IT Security Internship,94,6,5,0.0,0
"adobexd, cicd","api, database, docker, git, go, javascript, node, python, react, sql, testing, typescript",Software Intern,20,2,12,0.0,0
"agile, git, html, java, javascript, jest, react, testing","agile, css, git, html, java, javascript, jest, react, testing, typescript",Frontend Engineer Web React.Js,41,8,10,0.8,1
"accessibility, api, appium, css, express, git, html, java, javascript, node, react, sklearn, sql, wireshark","api, css, express, git, html, java, javascript, node, react, sql",Programmer Intern,33,14,10,1.0,1
"git, java, python, scala, testing, user research","git, java, python, scala, testing, user research",Software Engineering Talent Day - Surabaya,95,6,6,1.0,1
"python, pytorch, tensorflow","aws, go, java, javascript, python, sql",IT Support (Application) - Jabodetabek,101,3,6,0.16666666666666666,0
"angular, ansible, mongodb, numpy, springboot, sql","network security, networking, penetration, security, wireshark",Network Security Engineer,113,6,5,0.0,0
"agile, automation, cicd, postman, quality assurance, sql, testing, user research","agile, api, automation, cicd, git, postman, quality assurance, sql, testing, user research",Jr Quality Assurance (Manual),47,8,10,0.8,1
"jest, mongodb, nosql, sql, tableau","database, linux, networking, security",IT Support Intern,162,5,4,0.0,0
"java, javascript, quality assurance, testing, typescript","database, linux, networking, security",IT Support Intern,177,5,4,0.0,0
"appium, flask, html, pandas, quality assurance","api, aspnet, css, database, git, html, java, javascript, scala, user research",Web Programmer,44,5,10,0.1,0
"adobexd, automation, git, html, python, swift, tensorflow","api, css, git, graphql, html, java, javascript, jest, react, springboot, tailwind, testing, typescript",Frontend Developer (Contract),21,7,13,0.15384615384615385,0
"git, javascript, nextjs, node, nosql, python, react, react native, scala, sql","penetration, security",GRC Staff (IT),163,10,2,0.0,0
"design system, go, powerbi, ruby on rails","css, react, tailwind",Frontend Developer - Internship,126,4,3,0.0,0
"elasticsearch, express, git, tailwind, tensorflow","network security, networking, penetration, security",Network Security Department Head,143,5,4,0.0,0
"numpy, pandas, python, pytorch, sklearn, tensorflow","api, docker, laravel, node, python, sql",Class Manager: Back-End (Intern),74,6,6,0.16666666666666666,0
"express, react, swift","agile, api, aws, azure, cicd, database, docker, gcp, git, html, java, javascript, kubernetes, react native, sql",Junior Software Engineer (JAVA),12,3,15,0.0,0
"adobexd, api, css, firebase, git, html, java, javascript, networking, php, python, vue","adobexd, api, css, firebase, git, html, java, javascript, networking, php, python, vue",Web Developer,30,12,12,1.0,1
"automation, quality assurance, sql","numpy, pandas, python, pytorch, sklearn, tensorflow",AI Engineer,86,3,6,0.0,0
"automation, css, html, quality assurance, user research","css, html, quality assurance, user research",Website Builder & Content Publisher [UI/UX Experience],145,5,4,1.0,1
"azure, mongodb, quality assurance","java, quality assurance, react native, sql",IT JAVA Programmer (Junior),119,3,4,0.25,0
"api, git, graphql, java, rust, springboot, sql, swift","api, git, graphql, java, springboot, sql",Back End Developer,80,8,6,1.0,1
"node, spark","javascript, react, react native",Software Engineer Frontend (Graduate Internship),128,2,3,0.0,0
"aspnet, cloud, java, testing","aspnet, cloud, java, testing",Software Engineer - Intern (Paid Internship),102,4,4,1.0,1
"agile, android, automation, flutter, javascript, jest, kotlin, node, nosql, postman, quality assurance, selenium, sql, swift, testing, typescript","agile, android, automation, firebase, flutter, go, ios, javascript, jest, kotlin, node, nosql, postman, python, quality assurance, selenium, sql, swift, testing, typescript, vue",Quality Assurance (Internship),4,16,21,0.7619047619047619,1
"docker, linux, python, scala, tensorflow","docker, linux, python, pytorch, scala, tensorflow",AI Engineer,87,5,6,0.8333333333333334,1
"git, java, linux, python, pytorch, scala, tensorflow, testing","git, java, linux, python, pytorch, scala, tensorflow, testing",Software Engineer - Backend,63,8,8,1.0,1
"aws, css, networking, pandas, python, react, ruby on rails, scala","accessibility, api, automation, css, database, express, git, go, html, java, javascript, mongodb, nextjs, node, nosql, php, python, scala, security, sql, testing",Backend Programmer,3,8,21,0.14285714285714285,0
"mongodb, nosql, sql","api, css, database, git, html, java, javascript, php, python, quality assurance",Front End Developer,39,3,10,0.0,0
"api, css, git, html, java, javascript, laravel, sql","api, css, git, html, java, javascript, laravel, sql",Software Engineer - Fullstack (Laravel) Intern,51,8,8,1.0,1
"api, flutter, laravel, sql, vue","api, flutter, git, laravel, sql, vue",Staff Web Programmer (Front-End),96,5,6,0.8333333333333334,1
"agile, automation, react native, selenium, wireshark","agile, automation, selenium",IT Quality Assurance Tester (Manual / Automation),152,5,3,1.0,1
"ansible, api, cloud, git, go, javascript, laravel, node, pandas, postman, sql, user research","api, git, go, javascript, laravel, node, postman, react, sql",Fullstack Developer (Internship),37,12,9,0.8888888888888888,1
"git, node, php, postman, react, scala, sql","git, node, php, react, sql",FULL STACK DEVELOPER,105,7,5,1.0,1
"networking, penetration, security, wireshark","network security, networking, penetration, security, wireshark",Network Security Engineer,113,4,5,0.8,1
"accessibility, cicd, nosql, php, sklearn, swift","git, javascript, python, sql",Junior Software Engineer (Fresh Graduate),176,6,4,0.0,0
"aspnet, express, nextjs, redis, springboot","angular, css, django, flask, html, java, javascript, laravel, node, nosql, php, python, react, sql, vue",Junior Full Stack Engineer,10,5,15,0.0,0
"powerbi, sql, tableau","powerbi, python, sql, tableau",IT Data Internship,104,3,4,0.75,1
"cicd, nextjs, python, redis, selenium","database, linux, networking, user research",IT Staff,133,5,4,0.0,0
"git, node, php, react, sql","git, node, php, react, sql",FULL STACK DEVELOPER,105,5,5,1.0,1
"api, css, express, git, java, javascript, node, react, sql","api, css, express, git, html, java, javascript, node, react, sql",Programmer Intern,33,9,10,0.9,1
"gcp, powerbi, python, sklearn, wireshark","network security, security",Presales IT Security,165,5,2,0.0,0
"design system, express, ios, mongodb, redis, selenium","agile, appium, automation, go, java, javascript, postman, python, quality assurance, security, selenium, testing, user research",Software Quality Assurance,23,6,13,0.07692307692307693,0
"agile, bash, java, javascript, php, sql, vue","agile, java, javascript, php, sql",PROGRAMMER WEB,110,7,5,1.0,1
"cloud, linux, pandas, penetration","cloud, linux, penetration",IT Security,150,4,3,1.0,1
"aspnet, database, pandas","api, css, git, html, java, javascript, laravel, sql",Software Engineer - Fullstack (Laravel) Intern,51,3,8,0.0,0
"git, java, linux, pytorch, scala, tensorflow, testing","git, java, linux, python, pytorch, scala, tensorflow, testing",Software Engineer - Backend,63,7,8,0.875,1
"agile, angular, css, html, javascript, node, react, scala, testing, user research","agile, angular, css, html, javascript, node, react, scala, testing, user research",Web Developer,45,10,10,1.0,1
"linux, networking","api, firebase, flutter, git, react native",Flutter Developer (Intern),89,2,5,0.0,0
"agile, android, automation, firebase, flutter, go, ios, javascript, jest, kotlin, node, nosql, postman, python, quality assurance, selenium, sql, swift, testing, typescript, vue","ansible, aws, cicd, docker, kubernetes, linux, terraform",DevOps Intern (Mahasiswa Aktif),73,21,7,0.0,0
"api, aws, azure, database, django, fastapi, gcp, pandas, pytorch, r, react native, scala, sql, tensorflow","api, aws, azure, database, django, fastapi, gcp, pandas, python, pytorch, react native, scala, sql, tensorflow",Python Developer - AI Solutions Company - Remote,18,14,14,0.9285714285714286,1
"firebase, python","aspnet, express, php, sql",IT Programmer,118,2,4,0.0,0
"git, javascript, python","git, javascript, python, sql",Software & PLC Programmer,179,3,4,0.75,1
"agile, aws, bash, gcp, laravel, network security, networking, penetration, python, security, testing, user research, wireshark","aws, bash, gcp, network security, networking, penetration, python, security, user research, wireshark",IT Security Specialist,46,13,10,1.0,1
"ios, quality assurance, sklearn, tailwind","api, database, javascript, node, php, react, security, sql",Internship - Fullstack Developer,53,4,8,0.0,0
"accessibility, ios, javascript, testing","api, docker, laravel, node, python, sql",Class Manager: Back-End (Intern),74,4,6,0.0,0
"ansible, aspnet, css, html, javascript, laravel, nextjs, php","css, html, java, javascript, laravel, php",IT Programmer (Internship),68,8,6,0.8333333333333334,1
"adobexd, figma, testing","css, html",IT Intern,161,3,2,0.0,0
"appium, go, kubernetes, react, wireshark","cicd, cloud, database, django, docker, java, javascript, node, nosql, python, react, rust, scala, typescript",FullStack Engineer,15,5,14,0.07142857142857142,0
"android, api, flutter, git, kotlin","api, docker, elasticsearch, fastapi, flask, git, jest, linux, nosql, python, security, sql",Agentic AI Engineer,29,5,12,0.16666666666666666,0
"adobexd, express, php, powerbi","ansible, aws, azure, bash, cicd, docker, gcp, go, kubernetes, linux, python, rust, security, terraform",IT Security Engineer,16,4,14,0.0,0
"database, java, mongodb, powerbi, python, sql, tableau, user research","linux, network security, networking, penetration, security, wireshark",IT System Security Administrator,99,8,6,0.0,0
"flask, linux, react native, rust","agile, android, automation, firebase, flutter, go, ios, javascript, jest, kotlin, node, nosql, postman, python, quality assurance, selenium, sql, swift, testing, typescript, vue",Quality Assurance (Internship),4,4,21,0.0,0
"firebase, mongodb, node","git, node, php, react, sql",FULL STACK DEVELOPER,105,3,5,0.2,0
"python, pytorch, tensorflow","python, pytorch, tensorflow",Computer Vision Internship,142,3,3,1.0,1
"cloud, git, html, kubernetes, terraform, typescript","database, linux, networking, security",IT support,180,6,4,0.0,0
"css, html, javascript, jest, react, testing, typescript","agile, css, git, html, java, javascript, jest, react, testing, typescript",Frontend Engineer Web React.Js,41,7,10,0.7,1
"automation, css, docker, figma, git, kubernetes, vue","java, javascript, quality assurance, testing, typescript",QA Engineer Intern,90,7,5,0.0,0
"cicd, nosql","android, api, flutter, git, ios, testing",Mobile App Flutter Developer (Internship),75,2,6,0.0,0
"docker, mongodb, penetration, sql, testing","agile, express, flutter, networking",Frontend Developer Intern,107,5,4,0.0,0
"angular, aws, laravel, network security","agile, api, docker, git, graphql, kubernetes, redis, scala, security, sql, testing",Back End Engineer,32,4,11,0.0,0
"cicd, cloud, database, docker, git, javascript, nextjs, nosql, react, scala, sql, testing","database, linux, networking, security",IT Intern,173,12,4,0.25,0
"agile, php, security","git, java, linux, python, pytorch, scala, tensorflow, testing",Software Engineer - Backend,63,3,8,0.0,0
"gcp, scala, swift, wireshark","agile, quality assurance, testing",Paid Internship - Software Quality Assurance (Tester),130,4,3,0.0,0
"css, fastapi, figma, git, javascript, jest, nextjs, numpy, pandas, python, pytorch, quality assurance, react, scala, sql, tailwind, typescript","css, fastapi, git, javascript, jest, nextjs, numpy, pandas, python, pytorch, quality assurance, react, sql, tailwind, typescript",AI Engineer Internship,8,17,15,1.0,1
"android, api, git, ios, testing","android, api, flutter, git, ios, testing",Mobile App Flutter Developer (Internship),75,5,6,0.8333333333333334,1
"agile, cicd, git, go, nosql, sql","agile, api, cicd, git, go, mongodb, nosql, sql",[INTERN] Backend Developer,52,6,8,0.75,1
"aws, laravel, numpy, react native, swift","agile, quality assurance, sql",Quality Assurance,155,5,3,0.0,0
"agile, api, docker, graphql, kubernetes, redis, security, sql, testing","agile, api, docker, git, graphql, kubernetes, redis, scala, security, sql, testing",Back End Engineer,32,9,11,0.8181818181818182,1
"aws, pytorch","design system, scala, user research",UI UX Designer Intern,139,2,3,0.0,0
"api, cicd, database, docker, git, go, graphql, java, javascript, nextjs, nosql, react, scala, sql, typescript, vue","api, cicd, database, docker, git, go, graphql, java, javascript, nextjs, nosql, react, scala, sql, typescript, vue",AI Engineer,9,16,16,1.0,1
"express, node, pytorch, quality assurance, selenium","linux, network security, networking, penetration, security, wireshark",IT System Security Administrator,99,5,6,0.0,0
"agile, network security, react native, rust, security","agile, network security, react native, rust, security",IT Security Internship,94,5,5,1.0,1
"css, firebase, kotlin, terraform, typescript","api, css, git, html, java, javascript, laravel, sql",Software Engineer - Fullstack (Laravel) Intern,51,5,8,0.125,0
"java, linux, network security, networking, r, user research","network security, networking, user research",Network Security Engineer,136,6,3,1.0,1
"aspnet, aws, html","database, java, javascript, mongodb, nosql, python, pytorch, sql, tensorflow",Industrial Software Developer & Program Analyst,48,3,9,0.0,0
"api, aspnet, database, html, java, javascript, scala, user research, vue","api, aspnet, css, database, git, html, java, javascript, scala, user research",Web Programmer,44,9,10,0.8,1
"api, cicd, docker, linux, python, pytorch, react native, scala, tensorflow","api, cicd, docker, git, linux, python, pytorch, react native, scala, tensorflow, testing",Senior Machine Learning Engineer,35,9,11,0.8181818181818182,1
"agile, java, javascript, php, sql","agile, java, javascript, php, sql",PROGRAMMER WEB,110,5,5,1.0,1
"api, docker, git, linux, python, pytorch, react native, scala, tensorflow, testing","api, cicd, docker, git, linux, python, pytorch, react native, scala, tensorflow, testing",Senior Machine Learning Engineer,35,10,11,0.9090909090909091,1
"agile, laravel, node, nosql, php, security, sql, swift","agile, laravel, node, nosql, php, sql",IT Backend Developer Staff,78,8,6,1.0,1
"git, node, php, react, sql","api, aws, azure, database, django, fastapi, gcp, pandas, python, pytorch, react native, scala, sql, tensorflow",Python Developer - AI Solutions Company - Remote,18,5,14,0.07142857142857142,0
"agile, android, automation, firebase, flutter, go, ios, javascript, jest, kotlin, node, nosql, postman, python, quality assurance, selenium, sql, swift, testing, typescript, vue","agile, android, automation, firebase, flutter, go, ios, javascript, jest, kotlin, node, nosql, postman, python, quality assurance, selenium, sql, swift, testing, typescript, vue",Quality Assurance (Internship),4,21,21,1.0,1
"powerbi, react native","android, bash, ios, linux, network security, networking, penetration, python",Junior Offensive Security Engineer,58,2,8,0.0,0
"api, git, go, javascript, laravel, node, postman, react, sql","api, git, go, javascript, laravel, node, postman, react, sql",Fullstack Developer (Internship),37,9,9,1.0,1
"api, database, docker, git, go, javascript, python, react, sql, testing, typescript","api, database, docker, git, go, javascript, node, python, react, sql, testing, typescript",Software Intern,20,11,12,0.9166666666666666,1
"aspnet, fastapi, flutter, git, java, linux, python, pytorch, scala, tensorflow, testing","git, java, linux, python, pytorch, scala, tensorflow, testing",Software Engineer - Backend,63,11,8,1.0,1
"css, html, javascript, react, tailwind","css, html, javascript, react, tailwind, vue",Front-End Developer – 8th hire at a Startup!,79,5,6,0.8333333333333334,1
"agile, appium, automation, go, java, javascript, postman, python, quality assurance, security, selenium, testing, user research","agile, api, css, design system, figma, git, html, java, javascript, nextjs, react, typescript, vue",Front End Engineer,25,13,13,0.23076923076923078,0
"angular, html, node, nosql, php, python, react, ruby on rails, user research, vue","angular, css, html, java, javascript, node, nosql, php, python, react, ruby on rails, sql, user research, vue",Internship Full Stack Developer Magang,14,10,14,0.7142857142857143,1
"design system, docker, laravel, network security, react native","agile, api, automation, cicd, git, postman, quality assurance, sql, testing, user research",Jr Quality Assurance (Manual),47,5,10,0.0,0
"powerbi, python, sql","css, fastapi, git, javascript, jest, nextjs, numpy, pandas, python, pytorch, quality assurance, react, sql, tailwind, typescript",AI Engineer Internship,8,3,15,0.13333333333333333,0
"api, cicd, database, git, graphql, java, javascript, nextjs, nosql, react, scala, sql, typescript, vue","api, cicd, database, docker, git, go, graphql, java, javascript, nextjs, nosql, react, scala, sql, typescript, vue",AI Engineer,9,14,16,0.875,1
"aws, docker, elasticsearch, python, tensorflow","git, java, linux, python, pytorch, scala, tensorflow, testing",Software Engineer (C++),64,5,8,0.25,0
"git, node, php, react, sql","git, node, php, react, sql",FULL STACK DEVELOPER,105,5,5,1.0,1
"azure, ios, penetration, python, r","css, git, html, java, javascript, laravel, network security, networking, php, postman, sql, tensorflow",IT Support Intern,24,5,12,0.0,0
"linux, network security, networking, security","aspnet, cloud, java, testing",Software Engineer Intern (Paid Internship),103,4,4,0.0,0
"aws, docker, elasticsearch, python, tensorflow","api, css, git, html, java, javascript, php, react, react native, sql",FULLSTACK DEVELOPER,42,5,10,0.0,0
"aspnet, database, express, html, java, javascript, sql, testing","numpy, pandas, powerbi, python, r, sql, tableau",Haquhara Internship Opportunity 2026,72,8,7,0.14285714285714285,0
"agile, figma, testing","agile, figma, jest, testing",Product Designer,131,3,4,0.75,1
"ansible, figma, powerbi, terraform, user research","database, go, java, javascript, react, scala, sql, testing",Backend Engineer Project Intern (TikTok Shop by Tokopedia) - 2026 Start (BS/MS),43,5,8,0.0,0
"cloud, numpy, quality assurance","aspnet, cloud, java, testing",Software Engineer - Intern (Paid Internship),102,3,4,0.25,0
"aspnet, ios, jest, kubernetes, tableau, typescript","javascript, react, react native",Software Engineer Frontend (Graduate Internship),128,6,3,0.0,0
"go, nosql, pytorch, redis, wireshark","android, aspnet, html, ios, java, javascript, sql",Web Developer - Internship,56,5,7,0.0,0
"flask, pandas, pytorch","database, linux, networking, security",IT Intern,173,3,4,0.0,0
